quantidade_transacao,total_transacao,taxa_fraude,mes_ano
52525,506,0.96,2019-01
49866,517,1.04,2019-02
70939,494,0.70,2019-03
68078,376,0.55,2019-04
72532,408,0.56,2019-05
86064,354,0.41,2019-06
86596,331,0.38,2019-07
87359,382,0.44,2019-08
70652,418,0.59,2019-09
68758,454,0.66,2019-10
70421,388,0.55,2019-11
141060,592,0.42,2019-12
52202,343,0.66,2020-01
47791,336,0.70,2020-02
72850,444,0.61,2020-03
66892,302,0.45,2020-04
74343,527,0.71,2020-05
87805,467,0.53,2020-06
85848,321,0.37,2020-07
88759,415,0.47,2020-08
69533,340,0.49,2020-09
69348,384,0.55,2020-10
72635,294,0.40,2020-11
139538,258,0.18,2020-12
